Date,Positive_Reviews,Negative_Reviews
2023-05-01,583,1145
2023-06-01,19,36
2023-07-01,5,13
2023-08-01,7,12
2023-09-01,4,8
2023-10-01,7,12
2023-11-01,70,26
2023-12-01,63,34
2024-01-01,42,25
2024-02-01,6,10
2024-03-01,22,8
2024-04-01,24,12
2024-05-01,19,26
2024-06-01,33,9
2024-07-01,27,3
2024-08-01,30,18
2024-09-01,3,2
2024-10-01,19,10
2024-11-01,10,3
2024-12-01,10,7
2025-01-01,5,3
2025-02-01,2,4
2025-03-01,11,3
2025-04-01,3,2
2025-05-01,6,6
2025-06-01,8,5
2025-07-01,4,10
2025-08-01,10,3
2025-09-01,6,0
2025-10-01,4,4
2025-11-01,1,6
2025-12-01,5,2
2026-01-01,2,0
2026-02-01,7,9
2026-03-01,8,5
2026-04-01,5,2
