Date,Price
2024-04-15,249
2024-04-29,999
2024-06-07,249
2024-06-21,999
2024-06-27,249
2024-07-11,999
2024-07-22,249
2024-08-05,999
2024-09-16,249
2024-09-29,999
2024-10-29,249
2024-11-12,999
2024-11-27,249
2024-12-04,999
2024-12-12,249
2025-01-03,999
2025-01-27,249
2025-02-10,999
2025-03-12,249
2025-03-24,999
2025-04-23,249
2025-05-06,999
2025-06-05,249
2025-06-19,999
2025-06-27,249
2025-07-10,999
2025-07-11,1099
2025-08-11,274
2025-08-24,1099
2025-09-23,274
2025-10-06,1099
2025-10-29,274
2025-11-11,1099
2025-12-11,274
2026-01-05,1099
2026-02-12,274
2026-02-26,1099
2026-03-19,274
2026-03-26,1099
2026-04-01,274
2026-04-15,274
